pull_request_id,pr_src_title
277830,k8s-friendly dep
244690,Stable 20160831
287555,v1.15.0 API compatibility data
245986,"add qingcloud cloudprovider, add qingcloud_volume for PV/PVC, and support dynamic provisioner"
230235,Kubernetes UI with Dashboard component
261948,GCE: Update Google API dependencies
247788,Update ugorji/go/codec godep
234919,MESOS: updated mesos-go and dep libs: zk and gogo/protobuf
280915,Fixes golint in test/utils/image
247005,Support persistent volume usage for kubernetes running on Photon Controller platform (updated)
281910,[FEATURE-SERVERSIDE-APPLY] Merge master
247021,Support persistent volume usage for kubernetes running on Photon Controller platform
292962,snapshot clientsets pending context migration
263613,Update Cadvisor Dependency
244209,[WIP] Ceph RBD dynamic provisioning
236264,WIP: Generate protobuf IDL from Go versioned structs
235649,go2idl core
249618,create multiple BUILD files in vendor.
241286,"Change ""speter.net/go/exp/math/dec/inf"" dependency to new location"
236143,Removes raw=true from download example links and updates gh-pages docs
229078,Updating cAdvisor dependency.
236136,Pulling docs in gh-pages from release-1.1 branch
212833,cloudprovider/gce: use golang.org/x/oauth2
229081,Fix need for yaml in GCE kube-up by importing PyYAML into third_party
245702,Add OpenAPI specs to source tree
236152,Deleting and recreating gh-pages docs and examples for 1.1
280733,Update etcd client to 3.3 for 1.13
253477,Always check if default labels on node need to be updated in kubelet
282412,Release 1.8
285110,Release 1.8
282767,Release 1.8
279889,Release 1.8
281871,Release 1.8
283606,Automated cherry pick of #73435: Updated AWS SDK to v1.16.26 for ECR privatelink support
283392,Updated AWS SDK to v1.16.26 for ECR PrivateLink support
246102,Release 1.4
231729,Release 0.19.0
247771,Move pkg/api/unversioned to pkg/apis/meta/v1
243050,Add Cluster field in ObjectMeta
278386,Release 1.8
245232,support building with bazel
243574,support Azure data disk volume
277037,sync serverside apply w/ master
289127,[WIP] Update sigs.k8s.io/kustomize
233072,Import master docs to ghpages
231990,Bump ectd client and fix initializing IP/Port allocators when etcd is not reachable
231695,Update go-etcd client library version and add ugorji codec to dependencies
236580,[DO NOT MERGE] Switch to GroupVersion struct
245944,Automated cherry pick of #33735 upstream release 1.4
240981,Quobyte Volume plugin
247187,Statically typed deepcopy without reflection or type casts
236420,WIP/MESOS: Kubernetes on Mesos v0.7.x-v1.1.y
281015,Cross-component tracing for pods
241282,Move inf to new location along with cleaning out the junk
283207,[INVALID] INVALID PR
283006,Automated cherry pick of #72761 upstream release 1.11
275877,Manually add v1.10 release notes
287840,Release 1.12
229440,WIP: Kubernetes WebUI
282512,Release 1.11
259540,Switch from package syscall to golang.org/x/sys/unix
288647,Commit generated openapi definitions
286655,Update vendored dependencies to released version
239833,Upgrade gophercloud
231833,Diagrams for cloud logging blog article
240396,WIP: Add DockerVolume to API
235950,import 1.1 docs to gh_pages
245829,add checkPermissions() to ensure kubeadm running in root
277816,[FEATURE-SERVERSIDE-APPLY] Sync with master
288614,Add verify-staticcheck script
272973,[Do not merge] etcd 3.3.0 rc.3 client upgrade test
242629,DO NOT MERGE - Testing a set of patches in a branch
247983,Move unstructured types under `meta/v1` to indicate they are typed
247500,Release 1.2
243059,"Allow setting permission mode bits on secrets, configmaps and downwardAPI files"
235490,Automated cherry pick of #14626 upstream release 1.1
244050,storage: pass fieldRefs to flexstorage volume plugin
248965,Add apps/v1beta1 deployments with new defaults
244235,Dynamic provisioning for flocker volume plugin
244564,Making servers list an additional option for GlusterVolumeSource
236603,support Azure File Service volume
238518,Heapster v0.20.0-alpha3
238361,Bumped Heapster version to v0.20.0-alpha and Influxdb to 0.9.2.1
238469,Yet another try to migrate to the new Heapster
274135,Add gpu encoder decoder utilization metrics function.
282070,"Automated cherry pick of #70753, #70676 and #70971 upstream release 1.11"
282371,Kubelet report False runtime status while restart
235662,MESOS: Fix minion tasks and profiling
237031,MESOS: Automated cherry pick of #15735 - Fix minion tasks and profiling
235485,[obsolete] Cherry pick of #15367 #15255 upstream release 1.1 - mesos 0.24
292814,Add CHANGELOG-1.18.md to CHANGELOG.md
234499,Add support for flex volume.
245540,Copy auth plugin to client-go repo
293866,changelog: add changelogs for all release back due branch FF merge issue
245831,Replica set conditions API
211263,Openstack provider
239465,New Godeps LICENSE generation tool.
274391,add spelling checking script
289451,Bump x/sys and opencontainers/runc to support Risc-V architecture
281384,Release 1.11
252070,"Create staging folder for repo k8s.io/api, move external API used by client-go to k8s.io/api"
284390,"add go module support, manage vendor directory using `go mod vendor`"
278585,[FEATURE BRANCH] Sync with master
210197,Add support to query kubelet's logs and cadvisor's stats through apiserver  by passing rawquery.
285742,[FEATURE BRANCH] Rebase 'feature-rate-limiting' branch w/ master
266649,Workloads V1
286601,get lastest codes
232860,WIP: Begin versioning client
232610,Updating swagger-ui to the latest version
265776,Update kube dns 1.7
250689,Release 1.5
291802,Remove ability to re-enable serving deprecated APIs
235497,EXPERIMENTAL/MESOS: test mesos 0.23
264655,Automated cherry pick of #51480 #52316 upstream release 1.7
238713,"Allow Scale type, which is in a different API group, to be registered as a subresource of a api/v1 object."
238137,Move ScaleStatus type's Selector to the new LabelSelector format.
258288,Static deepcopy – phase 1
281281,WIP - Conditional openapi POC
251066,Anhowe lg153
250312,Release 1.5
250946,Fix nocolor
247514,[do not merge] Testing OpenShift 1.4 carries on top of release-1.4
244052,Support HostUser in PSP
280856,Release 1.11
253068,Dynamic registration prototype
258602,Add a new API version apps/v1beta2
245230,MinReadySeconds / AvailableReplicas for ReplicaSets
280776,Cherrypick: Update default backend to v1.5
288326,Use raw bytes instead of nested map in metav1.Fields
250628,Reorder fields in KubeletConfiguration
253412,WIP: Adding RoaringBitmap to compress the bitmap in cidr_set
210204,Add support to query kubelet's logs and cadvisor's stats through apiserver by passing rawquery
279999,"Resolves #59015, Scheduler: Add support for EBS types t3, r5, & z1d"
243373,Add readyReplicas to replica sets
281502,Update vendor package github.com/vmware/govmomi
246445,Remove last probe time from replica sets
233044,adapt docs/api-reference/*html to k8s style
233249,"Run importer, fix 404s"
244248,Add Viper parametrization as E2E config option.
238402,WIP: HPA in GA
237432,[DO NOT MERGE] secrets enhancements
292230,[WIP] Remove IPv6 limitations using roaring bitmaps 
260600,Federation readonly api
273851,Release 1.8
231035,AWS: Switch to aws-sdk-go
286166,[FEATURE BRANCH] Rebase 'feature-rate-limiting' branch w/ master 
242888,Add support for libStorage as a Kubernetes volume plugin.
271665,"Revert ""Version bump to etcd v3.2.11, grpc v1.7.5"""
236582,Add support for readonly containers
236310,Update ugorji + etcd + go-etcd dependencies
244777,"WIP - Release rebase, OpenShift carries"
273036,Release 1.8
249993,sync client-go
238334,Add httpHeaders to httpGet liveness probe
272335,Release 1.8
248226,Release 1.2
246844,Release 1.2
275719,Release 1.2
238308,CephFS: Add subdir Option for Changing Mounted Root Directory
229729,Rename everything to the new name
260727,Release 1.7
248925,Add RBAC v1beta1
213234,Add Godeps for the Prometheus monitoring client library and its dependencies
260038,Add rbac.authorization.k8s.io/v1
247346,Convert to use versioned api
244613,Release 1.2
244082,Release 1.2
246250,WIP: implement forgiveness phase 1
282110,Release 1.3
258266,Release 1.3
243106,Undelete generated files
284963,Move kubectl apply to staging
240830,#22885
270373,Add vSphere Cloud Provider simulator based tests
229389,Cassandra Cluster Example Add Check for Null Endpoints.
246267,Dr caps 1089
233473,Switch Godeps away from code.google.com
248280,Remove extensions/v1beta1 Job
238110,"NodeSelector, HardNodeAffinity and SoftNodeAffinity implementation"
235552,Allow user to specify git clone directory in gitRepo volume
237924,Update gce compute api godep
213174,Updating swagger-ui code to the latest version and removing the 'Try it out' buttons
236401,Add support for open-iscsi transports.
245466,unify available api group versions in our scripts
237250,Expose secret keys in environment variables
211906,Adding skeleton swagger UI
244693,"WIP: Test only, ignore"
213013,Initial adoption of Ginkgo in Kubernetes e2e tests
287579,Azure SDK updates (6/30/19)
237653,Config resource in env vars
288841,fix a bug that connection refused error will not recognized correctly
288788,Updating to etcd v3.3.15
278065,Revendor GCE Go Client
277428,Update to rules_go 0.12.1 and gazelle 0.12.0 and perform related cleanups
248015,Release 1.3
248984,Move ObjectMeta into pkg/apis/meta/v1
237705,NodeSelector and Node Affinities: API definitions
242608,WIP Rebase onto stable-20160624
279817,Release 1.11
248755,Update Google API dependencies
270685,Update cadvisor godeps to v0.28.2
244046,Support host user namespace 
246055,Release 1.3
277739,[feature branch] sync w/ master
277740,[feature branch] sync w/ master
245880,Release 1.3
240585,Move godeps to vendor/
245755,Release 1.3
266450,Update AWS SDK to 1.12.7
240405,[WIP] federation scheduler
238041,"Dedicated nodes, taints/ tolerations: Add API definitions."
270367,add support disk io device name to json output
247986,OpenAPI generated definition names are not unique across groups
237240,Publish ENV from secret fieldPath
269118,#50598: Added more test cases for nodeShouldRunDaemonPod
246448,Partial cherry-pick of #33182
245273,Cherrypick #32840
261492,Updated gRPC vendoring to support Keep Alive
259778,Automated cherry pick of #49444 upstream release 1.7
239805,[DO NOT MERGE] Bump up godep of etcd to use V3 API
287499,[WIP] Move kubectl/util/i18n and kubectl/generated to staging
231375,Upstream Kubernetes-Mesos framework
289284,Startup probe fixgate
238655,Reopening Image details for getPod API 
279477,Release 1.11
252833,WIP: Simple instrumentation with Jaeger backend
247145,Migrate rackspace/gophercloud -> gophercloud/gophercloud
212960,Adding swagger UI to kubernetes.io
234476,WIP: Update to AWS SDK 0.9.5
250159,Updated etcd to 3.1.0 to remove panic while running TestUpdate with go1.8
279015,Release 1.11
249113,Release 1.5
277275,Sync serverside apply with master
289777,"[WIP] Fix #76093, restructure LICENSES file generation - take #2"
285527,"Fix #76093, restructure LICENSES file generation "
235390,Automated cherry pick of #14245 #14770 #14747 upstream release 1.1
271045,[WIP] Implements different verbosity levels in kubeadm
236976,Set up generation of protobuf from our Go structs for use as a serialization format
248141,[Proposal][Prototype]Add local disk space as a resource for scheudling
238298,WIP: PV Controller refactor
277787,Move Snapshot APIs in-tree
277413,HPA metrics specificity improvements
245042,Add Rancher as a cloud provider
282213,"Update Ingress-GCE controller to v1.4.0, enable Managed Certificates alpha feature by default"
235806,Add liveness/readiness probe parameters
282873,Automated cherry pick of #72373 upstream release 1.12
259110,Automated cherry pick of #46360 upstream release 1.7
292452,Update to latest cadvisor and containerd (v1.3.3)
244002,"Add Service type ""ExternalName"" which results in CNAME DNS"
244651,Generating API reference docs for federation apiserver
232127,Move dashboard UI out of the apiserver to a separate pod
240068,Bump up godep of etcd to use V3 API
287596,promote CRD to v1
235401,Automated cherry pick of #14245 #14770 upstream release 1.1
248643,Move NetworkPolicy to v1
234753,Update to aws-sdk-go v0.9.9
246687,fix inconsistent util package import clause and some warning message …
279682,Flexvolume resize
243001,Add an Azure CloudProvider Implementation
235237,"Support stdinOnce, which allows run-once STDIN injection"
249251,add rancher credential provider
240225,WIP: Adding provisioner and deleter interface for glusterfs
240770,[WIP]:dynamic provisioning enablement for GlusterFS
287909,Fix golint failure in test/e2e/lifecycle/bootstrap
287911,Fix golint failure in pkg/controller/volume/expand
277780,Host  dynamic port and Service discovery
245196,Release 1.4 Batch Cherrypick
283598,Adding prettybench and go-junit-report to the vendor
243951,Configmap enhancements
246955,HPA v2 (API Changes)
252738,Storage
250291,[POC] move api types to staging/src/k8s.io/apis
279237,Automated cherry pick of #60373: Bump cfssl to be compatible with Go 1.10
243834,Add NodeName to EndpointAddress object
271788,Vendor gazelle and kazel
277949,"Automated cherry pick of #61575: Remove all upstream BUILD, BUILD.bazel, and WORKSPACE #57600: Vendor gazelle #62499: Update kazel to include openapi tag detection fix"
247770,Remove ExportOptions from api/internal and use unversioned
268963,Automated cherry pick of #54013
271596,Release 1.8
236129,Fill in kubelet metrics API
262548,Bumped gRPC version to 1.3.0
250399,Promote CronJobs to batch/v1beta1 - just the API
275024,Bump cfssl to be compatible with Go 1.10
286381,Add startupProbe to health checks
244474,Improvements on OpenAPI spec generation
245932,Fix a typo in openapi spec generation
278350,update aws-sdk to support new region cn-northwest-1
249294,Import remotecommand
230118,Updating swagger-spec for kubernetes.io
252819,Add initializers to ObjectMeta and a new filter on ListOptions
277593,Move Snapshot APIs in-tree
247773,WIP: experimental raft storage
286306,Release 1.13
274363,Add Ephemeral Containers to the Kubernetes core API
234892,WIP: affinity priority for pods
235031,PodSecurityContext with inline fields
258910,Alpha list paging implementation
282993,WIP: Add outbound rules for Azure standard loadbalancer
235435,FSGroup implementation
244647,Expand owners franchise
281782,Update cadvisor and other repos for klog
278642,Automated cherry pick of #65882: Add script to verify generated files #65986: verify-generated-files: ensure git tree is clean #65985: Don't gitignore pkg/generated/bindata.go
278623,Re-add pkg/generated/bindata.go
248779,bazel: update to gazel v13 and create sources rules throughout tree
236741,Make serviceAccountName a pointer and change defaulting
286611,Remove pkg/util/goroutinemap/exponentialbackoff from lintignore with changes
281151,Update a few dependencies
282268,Release 1.12
281739,[WIP] Update vendor files for 4 repos for klog
276006,Rev the Azure SDK for networking.
286576,Automated cherry pick of #78012: Upgrade Azure network API version to 2018-07-01
286577,Automated cherry pick of #78012: Upgrade Azure network API version to 2018-07-01
280674,upgrading sample-apiserver to 1.10
286535, Upgrade Azure network API version to 2018-07-01
245149,1.4 Cherrypick batch update
288843,Update Azure API versions in go imports
276197,Automated cherry pick of #54971: Rev Azure SDK to v11.1.1
268784,Upgrade Azure SDK to v11.1.1
210001,Letting kubelet retrieve container stats from cAdvisor
247094,Allow pods to define multiple environment variables from a whole ConfigMap
249226,Use full package path for definition name in OpenAPI spec
250420,Admission Controller: Add Pod Preset
234027,WIP Versioned Client
243837,Bump cadvisor
277071,apiextensions: [alpha] implement defaulting
235194,Add Support for Supplemental groups
213226,[WIP] Rackspace Cloud support
248554,Quobyte allow TenantID mapping
248481,Dell EMC ScaleIO Volume Plugin
265504,Code optimization-Merge arrays-Optimize find-Optimize time consumption
236898,Update aws-sdk-go to v1.0.x
238724,Make kube-proxy iptables SNAT masquerade mark configurable (#2)
245781,Cherrypick: Update cAdvisor godeps for v1.4.1
292265,Upgrade aws-sdk-go to 1.23.15
251014,combine kube-apiserver and kube-aggregator
277725,apiextensions: [alpha] opt-in CR pruning according to OpenAPI schema
247662,[scheduling] Moved node affinity from annotations to api fields. #35518
240357,support NETWORK_PROVIDER=cni with KUBERNETES_PROVIDER=vagrant
230601,Adds a simple release-note builder that scrapes the Github API for recent PRs
213405,Basic Rackspace cloud support
238086,Move ConfigMap to main API
242204,Bumping up etcd dep
291361,apiextensions: fix items+type logic in API due to broken go-openapi validation
211250,Fluentd and Elasticsearch with Separate Pods Write Up
245162,Move generated openAPI specs out of genericapiserver and make it configurable
275826,Split the pkg/apis/core/validation/ package
266061,"Add API version apps/v1, and bump DaemonSet to apps/v1"
265962,"Add API version apps/v1, and bump DaemonSet to apps/v1"
236108,add key subnet in struct NodeAddress to help scheduler create a priority about deploying pods to different switches. 
253630,Update Azure SDK.
259103,Automated cherry pick of #47140 upstream release 1.7
275148,Fix literal copies lock value from fakePtr
263628,Vault KMS provider for envelope encryption of secrets in a cluster
240479,[WIP] federated scheduler
241929,"Remove ""All rights reserved"" from all the headers."
274913,Add DNS SRV record lookup functionality to CephFS/RBD Volume/PersistentVolume 
235952,1.1 cherry-pick cadvisor bump
244615,[WiP] DaemonSet updates
289107,Updated API priority and fairness wrt defaulting behaviors plus related changes
276335,WIP: remove zz_generated.*.go files from the repo
245807,Add missing API groups to 1.4 client
286186,Enhance pv_controller to record more accurate end to end provisioning/deletion latency metric
245837,Automated cherry pick of #33868
252750,Add protobuf binary version of OpenAPI spec
274842,[wip] Add DNS SRV record lookup for Ceph monitors in CephFS volume
245143,Update Google Cloud API client import paths
231614,Updating swagger spec for kubernetes.io
241432,Certificate signing controller for TLS bootstrap (alpha)
240162,[wip] Ubernetes scheduler
286030,Automated cherry pick of #76665 upstream release 1.13
289326,Extend PR 81834 to allow any config objects
289341,Extend PR 81834 for flexibility and Exempt bit flips
290146,DO NOT MERGE
289018,"[DO NOT SUBMIT] lavalamp comments on ""Feature rate limiting"""
289083,Rebase and merging feature-rate-limiting into master
288944,[FEATURE BRANCH] Added ObjectNamespaces to PolicyRuleWithSubjects
246172,Simplify negotiation in server in preparation for multi version support
249405,CRI: use more gogoprotobuf plugins
274566,Add AzureDisk support for vmss nodes
237977,godep update
285951,Release 1.13
248920,Migrating to gophercloud/gophercloud from rackspace/gophercloud
212659,Add skydns to deps.
269368,TEST-DEBUG: Move core API to pkg/apis/core
266601,Move core API to pkg/apis/core
253272,implement ipvs mode kube proxy
283143,add kustomize as a subcommand in kubectl
242171,Add sysctl support
257957,Update aws sdk for volume expand
245651,Update golang.org/x/sys/unix package
285530,Release 1.13
288941,[FEATURE BRANCH] Stopped rejection of unsecured requests
253273,Implement IPVS-based in-cluster service load balancing
285233,Release 1.13
244275,WIP: Add sysctl support for rkt via the kubenet network plugin
281867,Bump CSI Spec to 1.0.0 and gRPC to 1.13.0
233862,[WIP] Secret generation
235908,Bump cadvisor & libcontainer
235007,WIP: first iteration of go2idl
271954,Code generation for GCE compute interface
252705,Advanced audit logging API with code generation including client
273159,WIP initial work adding ctx to client-gen and informer-gen
287584,Azure API updates
235129,use ffjson for encode/decode
280889,Release 1.6
271270,Release 1.6
250585,StorageOS Volume Plugin
278431,kubernetes: use Go modules (vgo) instead of godep
269956,Release 1.6
268737,Release 1.6
268512,Automated cherry pick of #51985 upstream release 1.6
238318,HPA annotation structs for Custom Metrics
236761,Add a server side exporter parameter and impl.
237218,Expose images list of a node
211445,WIP - OAuth plugin
281806,WIP: Testing Csi inline volume impl
281788,Adding Windows Overlay support to Kube Proxy
228644,Merging 4011
231663,Vendor skydns
237857,Add perma-failed deployments API
213101,Autogenerate go-md2man(able) md file for kubectl
237707,insert space after the comment character
276707,Upgrade Azure Go SDK to stable version
230415,Go SSH e2e tests
243222,kube-flannel bridge
257942,Update Docker API in Kubelet
281772,Enable kustomize in kubectl
231510,Adding more functionality to contrib/ansible
238591,bump(ugorji/go): 4a79e5b7b21e51ae8d61641bca20399b79735a32
247922,[WIP] [Scheduler] [UX] API Support for SchedulingMismatchedPredicateResults
270306,WIP: apiextensions: implement CR defaulting as alpha
230044,Updating cAdvisor godep.
245869,Generate and store federation OpenAPI spec in source tree
247416,Move unversioned.GroupVersion to pkg/runtime/schema
240261,Move typed clients into clientset folder
279541,CSI - API Changes for Pod Inline Volume Support
212815,"Add Negotiate auth via gssproxy, and password checking via saslauthd"
244538,"OWNERS: add ""reviewers"" across the tree"
287458,Re-add kubectl docs to kubectl staging
269708,OIDC User Login flow
277589,Move Snapshot APIs in-tree
275161,update aws sdk to v1.13.6
251056,Extract long strings and make available for translation.
276735,[feature branch] sync w/ master
240915,[Do Not Merge]Fix typos in docker.go
282522,Add api approvers
282519,[FEATURE-SERVERSIDE-APPLY] Refactor apply directory
